file_id,event_id,timestamp,tensor_shape,nan_percentage,center_lat,center_lon,gt_match_distance_min,pattern_label,validation_status
amphan_2020_20200518T000000Z.npz,amphan_2020,2020-05-18T00:00:00Z,"(2, 286, 214)",0.0,13.2,86.3,0.0,unlabeled,PASS
amphan_2020_20200518T030000Z.npz,amphan_2020,2020-05-18T03:00:00Z,"(2, 286, 214)",0.0,13.3,86.2,0.0,unlabeled,PASS
amphan_2020_20200518T060000Z.npz,amphan_2020,2020-05-18T06:00:00Z,"(2, 286, 214)",0.0,13.4,86.2,0.0,unlabeled,PASS
amphan_2020_20200518T090000Z.npz,amphan_2020,2020-05-18T09:00:00Z,"(2, 286, 214)",0.0,13.7,86.2,0.0,unlabeled,PASS
amphan_2020_20200518T120000Z.npz,amphan_2020,2020-05-18T12:00:00Z,"(2, 286, 214)",0.0,14.0,86.3,0.0,unlabeled,PASS
amphan_2020_20200518T150000Z.npz,amphan_2020,2020-05-18T15:00:00Z,"(2, 286, 214)",0.0,14.5,86.4,0.0,unlabeled,PASS
amphan_2020_20200518T180000Z.npz,amphan_2020,2020-05-18T18:00:00Z,"(2, 286, 214)",0.0,14.9,86.5,0.0,unlabeled,PASS
amphan_2020_20200518T210000Z.npz,amphan_2020,2020-05-18T21:00:00Z,"(2, 286, 214)",0.0,15.2,86.6,0.0,unlabeled,PASS
amphan_2020_20200519T000000Z.npz,amphan_2020,2020-05-19T00:00:00Z,"(2, 286, 214)",0.0,15.6,86.7,0.0,unlabeled,PASS
amphan_2020_20200519T030000Z.npz,amphan_2020,2020-05-19T03:00:00Z,"(2, 286, 214)",0.0,16.0,86.8,0.0,unlabeled,PASS
amphan_2020_20200519T060000Z.npz,amphan_2020,2020-05-19T06:00:00Z,"(2, 286, 214)",0.0,16.5,86.9,0.0,unlabeled,PASS
amphan_2020_20200519T090000Z.npz,amphan_2020,2020-05-19T09:00:00Z,"(2, 286, 214)",0.0,17.0,86.9,0.0,unlabeled,PASS
amphan_2020_20200519T120000Z.npz,amphan_2020,2020-05-19T12:00:00Z,"(2, 286, 214)",0.0,17.4,87.0,0.0,unlabeled,PASS
amphan_2020_20200519T150000Z.npz,amphan_2020,2020-05-19T15:00:00Z,"(2, 286, 214)",0.0,18.1,87.1,0.0,unlabeled,PASS
amphan_2020_20200519T180000Z.npz,amphan_2020,2020-05-19T18:00:00Z,"(2, 286, 214)",0.0,18.4,87.2,0.0,unlabeled,PASS
amphan_2020_20200519T210000Z.npz,amphan_2020,2020-05-19T21:00:00Z,"(2, 286, 214)",0.0,18.7,87.2,0.0,unlabeled,PASS
amphan_2020_20200520T000000Z.npz,amphan_2020,2020-05-20T00:00:00Z,"(2, 286, 214)",0.0,19.1,87.5,0.0,unlabeled,PASS
amphan_2020_20200520T030000Z.npz,amphan_2020,2020-05-20T03:00:00Z,"(2, 286, 214)",0.0,19.8,87.7,0.0,unlabeled,PASS
amphan_2020_20200520T060000Z.npz,amphan_2020,2020-05-20T06:00:00Z,"(2, 286, 214)",0.0,20.6,88.0,0.0,unlabeled,PASS
amphan_2020_20200520T090000Z.npz,amphan_2020,2020-05-20T09:00:00Z,"(2, 286, 214)",0.0,21.4,88.1,0.0,unlabeled,PASS
amphan_2020_20200520T120000Z.npz,amphan_2020,2020-05-20T12:00:00Z,"(2, 286, 214)",0.0,21.9,88.4,0.0,unlabeled,PASS
amphan_2020_20200520T150000Z.npz,amphan_2020,2020-05-20T15:00:00Z,"(2, 286, 214)",0.0,22.7,88.6,0.0,unlabeled,PASS
amphan_2020_20200520T180000Z.npz,amphan_2020,2020-05-20T18:00:00Z,"(2, 286, 214)",0.0,23.3,89.0,0.0,unlabeled,PASS
amphan_2020_20200520T210000Z.npz,amphan_2020,2020-05-20T21:00:00Z,"(2, 286, 214)",0.0,24.2,89.0,0.0,unlabeled,PASS
amphan_2020_20200521T000000Z.npz,amphan_2020,2020-05-21T00:00:00Z,"(2, 286, 214)",0.0,24.2,89.3,0.0,unlabeled,PASS
biparjoy_2023_20230606T000000Z.npz,biparjoy_2023,2023-06-06T00:00:00Z,"(2, 286, 357)",0.0,,,,unlabeled,PASS
biparjoy_2023_20230606T030000Z.npz,biparjoy_2023,2023-06-06T03:00:00Z,"(2, 286, 357)",0.0,,,,unlabeled,PASS
biparjoy_2023_20230606T060000Z.npz,biparjoy_2023,2023-06-06T06:00:00Z,"(2, 286, 357)",0.0,11.9,66.0,0.0,unlabeled,PASS
biparjoy_2023_20230606T090000Z.npz,biparjoy_2023,2023-06-06T09:00:00Z,"(2, 286, 357)",0.0,12.13,65.9775,0.0,unlabeled,PASS
biparjoy_2023_20230606T120000Z.npz,biparjoy_2023,2023-06-06T12:00:00Z,"(2, 286, 357)",0.0,12.3,66.0,0.0,unlabeled,PASS
biparjoy_2023_20230606T150000Z.npz,biparjoy_2023,2023-06-06T15:00:00Z,"(2, 286, 357)",0.0,12.3725,66.0925,0.0,unlabeled,PASS
biparjoy_2023_20230606T180000Z.npz,biparjoy_2023,2023-06-06T18:00:00Z,"(2, 286, 357)",0.0,12.4,66.2,0.0,unlabeled,PASS
biparjoy_2023_20230606T210000Z.npz,biparjoy_2023,2023-06-06T21:00:00Z,"(2, 286, 357)",0.0,12.4275,66.2575,0.0,unlabeled,PASS
biparjoy_2023_20230607T000000Z.npz,biparjoy_2023,2023-06-07T00:00:00Z,"(2, 286, 357)",0.0,12.5,66.3,0.0,unlabeled,PASS
biparjoy_2023_20230607T030000Z.npz,biparjoy_2023,2023-06-07T03:00:00Z,"(2, 286, 357)",0.0,12.655,66.3575,0.0,unlabeled,PASS
biparjoy_2023_20230607T060000Z.npz,biparjoy_2023,2023-06-07T06:00:00Z,"(2, 286, 357)",0.0,12.9,66.4,0.0,unlabeled,PASS
biparjoy_2023_20230607T090000Z.npz,biparjoy_2023,2023-06-07T09:00:00Z,"(2, 286, 357)",0.0,13.265,66.4449,0.0,unlabeled,PASS
biparjoy_2023_20230607T120000Z.npz,biparjoy_2023,2023-06-07T12:00:00Z,"(2, 286, 357)",0.0,13.6,66.4,0.0,unlabeled,PASS
biparjoy_2023_20230607T150000Z.npz,biparjoy_2023,2023-06-07T15:00:00Z,"(2, 286, 357)",0.0,13.7601,66.1276,0.0,unlabeled,PASS
biparjoy_2023_20230607T180000Z.npz,biparjoy_2023,2023-06-07T18:00:00Z,"(2, 286, 357)",0.0,13.8,65.9,0.0,unlabeled,PASS
biparjoy_2023_20230607T210000Z.npz,biparjoy_2023,2023-06-07T21:00:00Z,"(2, 286, 357)",0.0,13.7275,66.02,0.0,unlabeled,PASS
biparjoy_2023_20230608T000000Z.npz,biparjoy_2023,2023-06-08T00:00:00Z,"(2, 286, 357)",0.0,13.7,66.2,0.0,unlabeled,PASS
biparjoy_2023_20230608T030000Z.npz,biparjoy_2023,2023-06-08T03:00:00Z,"(2, 286, 357)",0.0,13.9275,66.18,0.0,unlabeled,PASS
biparjoy_2023_20230608T060000Z.npz,biparjoy_2023,2023-06-08T06:00:00Z,"(2, 286, 357)",0.0,14.2,66.1,0.0,unlabeled,PASS
biparjoy_2023_20230608T090000Z.npz,biparjoy_2023,2023-06-08T09:00:00Z,"(2, 286, 357)",0.0,14.3375,66.0275,0.0,unlabeled,PASS
biparjoy_2023_20230608T120000Z.npz,biparjoy_2023,2023-06-08T12:00:00Z,"(2, 286, 357)",0.0,14.4,66.0,0.0,unlabeled,PASS
biparjoy_2023_20230608T150000Z.npz,biparjoy_2023,2023-06-08T15:00:00Z,"(2, 286, 357)",0.0,14.4,66.0625,0.0,unlabeled,PASS
biparjoy_2023_20230608T180000Z.npz,biparjoy_2023,2023-06-08T18:00:00Z,"(2, 286, 357)",0.0,14.4,66.2,0.0,unlabeled,PASS
biparjoy_2023_20230608T210000Z.npz,biparjoy_2023,2023-06-08T21:00:00Z,"(2, 286, 357)",0.0,14.47,66.37,0.0,unlabeled,PASS
biparjoy_2023_20230609T000000Z.npz,biparjoy_2023,2023-06-09T00:00:00Z,"(2, 286, 357)",0.0,14.6,66.6,0.0,unlabeled,PASS
biparjoy_2023_20230609T030000Z.npz,biparjoy_2023,2023-06-09T03:00:00Z,"(2, 286, 357)",0.0,14.7776,66.9224,0.0,unlabeled,PASS
biparjoy_2023_20230609T060000Z.npz,biparjoy_2023,2023-06-09T06:00:00Z,"(2, 286, 357)",0.0,15.0,67.2,0.0,unlabeled,PASS
biparjoy_2023_20230609T090000Z.npz,biparjoy_2023,2023-06-09T09:00:00Z,"(2, 286, 357)",0.0,15.2274,67.2876,0.0,unlabeled,PASS
biparjoy_2023_20230609T120000Z.npz,biparjoy_2023,2023-06-09T12:00:00Z,"(2, 286, 357)",0.0,15.5,67.3,0.0,unlabeled,PASS
biparjoy_2023_20230609T150000Z.npz,biparjoy_2023,2023-06-09T15:00:00Z,"(2, 286, 357)",0.0,15.85,67.3575,0.0,unlabeled,PASS
biparjoy_2023_20230609T180000Z.npz,biparjoy_2023,2023-06-09T18:00:00Z,"(2, 286, 357)",0.0,16.2,67.4,0.0,unlabeled,PASS
biparjoy_2023_20230609T210000Z.npz,biparjoy_2023,2023-06-09T21:00:00Z,"(2, 286, 357)",0.0,16.465,67.4075,0.0,unlabeled,PASS
biparjoy_2023_20230610T000000Z.npz,biparjoy_2023,2023-06-10T00:00:00Z,"(2, 286, 357)",0.0,16.7,67.4,0.0,unlabeled,PASS
biparjoy_2023_20230610T030000Z.npz,biparjoy_2023,2023-06-10T03:00:00Z,"(2, 286, 357)",0.0,16.98,67.4,0.0,unlabeled,PASS
biparjoy_2023_20230610T060000Z.npz,biparjoy_2023,2023-06-10T06:00:00Z,"(2, 286, 357)",0.0,17.2,67.4,0.0,unlabeled,PASS
biparjoy_2023_20230610T090000Z.npz,biparjoy_2023,2023-06-10T09:00:00Z,"(2, 286, 357)",0.0,17.28,67.3925,0.0,unlabeled,PASS
biparjoy_2023_20230610T120000Z.npz,biparjoy_2023,2023-06-10T12:00:00Z,"(2, 286, 357)",0.0,17.3,67.4,0.0,unlabeled,PASS
biparjoy_2023_20230610T150000Z.npz,biparjoy_2023,2023-06-10T15:00:00Z,"(2, 286, 357)",0.0,17.32,67.45,0.0,unlabeled,PASS
biparjoy_2023_20230610T180000Z.npz,biparjoy_2023,2023-06-10T18:00:00Z,"(2, 286, 357)",0.0,17.4,67.5,0.0,unlabeled,PASS
biparjoy_2023_20230610T210000Z.npz,biparjoy_2023,2023-06-10T21:00:00Z,"(2, 286, 357)",0.0,17.62,67.4926,0.0,unlabeled,PASS
biparjoy_2023_20230611T000000Z.npz,biparjoy_2023,2023-06-11T00:00:00Z,"(2, 286, 357)",0.0,17.9,67.5,0.0,unlabeled,PASS
biparjoy_2023_20230611T030000Z.npz,biparjoy_2023,2023-06-11T03:00:00Z,"(2, 286, 357)",0.0,18.165,67.5924,0.0,unlabeled,PASS
biparjoy_2023_20230611T060000Z.npz,biparjoy_2023,2023-06-11T06:00:00Z,"(2, 286, 357)",0.0,18.4,67.7,0.0,unlabeled,PASS
biparjoy_2023_20230611T090000Z.npz,biparjoy_2023,2023-06-11T09:00:00Z,"(2, 286, 357)",0.0,18.5575,67.765,0.0,unlabeled,PASS
biparjoy_2023_20230611T120000Z.npz,biparjoy_2023,2023-06-11T12:00:00Z,"(2, 286, 357)",0.0,18.7,67.8,0.0,unlabeled,PASS
biparjoy_2023_20230611T150000Z.npz,biparjoy_2023,2023-06-11T15:00:00Z,"(2, 286, 357)",0.0,18.9,67.815,0.0,unlabeled,PASS
biparjoy_2023_20230611T180000Z.npz,biparjoy_2023,2023-06-11T18:00:00Z,"(2, 286, 357)",0.0,19.1,67.8,0.0,unlabeled,PASS
biparjoy_2023_20230611T210000Z.npz,biparjoy_2023,2023-06-11T21:00:00Z,"(2, 286, 357)",0.0,19.2575,67.7725,0.0,unlabeled,PASS
biparjoy_2023_20230612T000000Z.npz,biparjoy_2023,2023-06-12T00:00:00Z,"(2, 286, 357)",0.0,19.4,67.7,0.0,unlabeled,PASS
biparjoy_2023_20230612T030000Z.npz,biparjoy_2023,2023-06-12T03:00:00Z,"(2, 286, 357)",0.0,19.5575,67.5501,0.0,unlabeled,PASS
biparjoy_2023_20230612T060000Z.npz,biparjoy_2023,2023-06-12T06:00:00Z,"(2, 286, 357)",0.0,19.7,67.4,0.0,unlabeled,PASS
biparjoy_2023_20230612T090000Z.npz,biparjoy_2023,2023-06-12T09:00:00Z,"(2, 286, 357)",0.0,19.8075,67.3275,0.0,unlabeled,PASS
biparjoy_2023_20230612T120000Z.npz,biparjoy_2023,2023-06-12T12:00:00Z,"(2, 286, 357)",0.0,19.9,67.3,0.0,unlabeled,PASS
biparjoy_2023_20230612T150000Z.npz,biparjoy_2023,2023-06-12T15:00:00Z,"(2, 286, 357)",0.0,19.97,67.3074,0.0,unlabeled,PASS
biparjoy_2023_20230612T180000Z.npz,biparjoy_2023,2023-06-12T18:00:00Z,"(2, 286, 357)",0.0,20.1,67.3,0.0,unlabeled,PASS
biparjoy_2023_20230612T210000Z.npz,biparjoy_2023,2023-06-12T21:00:00Z,"(2, 286, 357)",0.0,20.385,67.23,0.0,unlabeled,PASS
biparjoy_2023_20230613T000000Z.npz,biparjoy_2023,2023-06-13T00:00:00Z,"(2, 286, 357)",0.0,20.7,67.1,0.0,unlabeled,PASS
biparjoy_2023_20230613T030000Z.npz,biparjoy_2023,2023-06-13T03:00:00Z,"(2, 286, 357)",0.0,20.93,66.9075,0.0,unlabeled,PASS
biparjoy_2023_20230613T060000Z.npz,biparjoy_2023,2023-06-13T06:00:00Z,"(2, 286, 357)",0.0,21.1,66.7,0.0,unlabeled,PASS
biparjoy_2023_20230613T090000Z.npz,biparjoy_2023,2023-06-13T09:00:00Z,"(2, 286, 357)",0.0,21.2075,66.4975,0.0,unlabeled,PASS
biparjoy_2023_20230613T120000Z.npz,biparjoy_2023,2023-06-13T12:00:00Z,"(2, 286, 357)",0.0,21.3,66.4,0.0,unlabeled,PASS
biparjoy_2023_20230613T150000Z.npz,biparjoy_2023,2023-06-13T15:00:00Z,"(2, 286, 357)",0.0,21.465,66.5648,0.0,unlabeled,PASS
biparjoy_2023_20230613T180000Z.npz,biparjoy_2023,2023-06-13T18:00:00Z,"(2, 286, 357)",0.0,21.6,66.7,0.0,unlabeled,PASS
biparjoy_2023_20230613T210000Z.npz,biparjoy_2023,2023-06-13T21:00:00Z,"(2, 286, 357)",0.0,21.6302,66.465,0.0,unlabeled,PASS
biparjoy_2023_20230614T000000Z.npz,biparjoy_2023,2023-06-14T00:00:00Z,"(2, 286, 357)",0.0,21.6,66.2,0.0,unlabeled,PASS
biparjoy_2023_20230614T030000Z.npz,biparjoy_2023,2023-06-14T03:00:00Z,"(2, 286, 357)",0.0,21.5124,66.1827,0.0,unlabeled,PASS
biparjoy_2023_20230614T060000Z.npz,biparjoy_2023,2023-06-14T06:00:00Z,"(2, 286, 357)",0.0,21.5,66.3,0.0,unlabeled,PASS
biparjoy_2023_20230614T090000Z.npz,biparjoy_2023,2023-06-14T09:00:00Z,"(2, 286, 357)",0.0,21.7276,66.5072,0.0,unlabeled,PASS
biparjoy_2023_20230614T120000Z.npz,biparjoy_2023,2023-06-14T12:00:00Z,"(2, 286, 357)",0.0,22.0,66.7,0.0,unlabeled,PASS
biparjoy_2023_20230614T150000Z.npz,biparjoy_2023,2023-06-14T15:00:00Z,"(2, 286, 357)",0.0,22.1075,66.7226,0.0,unlabeled,PASS
biparjoy_2023_20230614T180000Z.npz,biparjoy_2023,2023-06-14T18:00:00Z,"(2, 286, 357)",0.0,22.2,66.7,0.0,unlabeled,PASS
biparjoy_2023_20230614T210000Z.npz,biparjoy_2023,2023-06-14T21:00:00Z,"(2, 286, 357)",0.0,22.4075,66.72,0.0,unlabeled,PASS
biparjoy_2023_20230615T000000Z.npz,biparjoy_2023,2023-06-15T00:00:00Z,"(2, 286, 357)",0.0,22.6,66.8,0.0,unlabeled,PASS
biparjoy_2023_20230615T030000Z.npz,biparjoy_2023,2023-06-15T03:00:00Z,"(2, 286, 357)",0.0,22.6649,66.9476,0.0,unlabeled,PASS
biparjoy_2023_20230615T060000Z.npz,biparjoy_2023,2023-06-15T06:00:00Z,"(2, 286, 357)",0.0,22.7,67.2,0.0,unlabeled,PASS
biparjoy_2023_20230615T090000Z.npz,biparjoy_2023,2023-06-15T09:00:00Z,"(2, 286, 357)",0.0,22.7701,67.5776,0.0,unlabeled,PASS
biparjoy_2023_20230615T120000Z.npz,biparjoy_2023,2023-06-15T12:00:00Z,"(2, 286, 357)",0.0,22.9,68.0,0.0,unlabeled,PASS
biparjoy_2023_20230615T150000Z.npz,biparjoy_2023,2023-06-15T15:00:00Z,"(2, 286, 357)",0.0,23.15,68.3797,0.0,unlabeled,PASS
biparjoy_2023_20230615T180000Z.npz,biparjoy_2023,2023-06-15T18:00:00Z,"(2, 286, 357)",0.0,23.4,68.7,0.0,unlabeled,PASS
biparjoy_2023_20230615T210000Z.npz,biparjoy_2023,2023-06-15T21:00:00Z,"(2, 286, 357)",0.0,23.5224,68.9227,0.0,unlabeled,PASS
biparjoy_2023_20230616T000000Z.npz,biparjoy_2023,2023-06-16T00:00:00Z,"(2, 286, 357)",0.0,23.6,69.1,0.0,unlabeled,PASS
